Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,890,Jars Of Power LuckyTap ™,Design Works Gaming,Instant Win,"January, 2025",19,$1.52,$1.12,0.78,0.4,0.71,1.33,0.02%
,,891,Santas Winning Wishlist,Inspired,Slot,"November, 2022",11,$1.37,$1.13,0.69,0.6,0.71,0.78,0.00%
,,892,3x 2x Fire And Roses Joker,Games Global,Slot,"June, 2025",19,$1.52,$1.55,0.79,0.5,0.71,0.78,0.03%
,,893,Fu Dai Lian Lian Panda,Aristocrat,Slot,"August, 2024",7,$1.92,$1.80,0.83,0.6,0.71,0.78,0.01%
,,894,Megajackpots Lucky Larrys Lobstermania,Igt,Slot,"July, 2025",13,$1.80,$1.69,0.45,0.4,0.71,0.77,0.02%
,,895,Cleopatra Christmas,Igt,Slot,"November, 2023",30,$0.73,$0.60,2.19,0.6,0.71,0.77,0.02%
,,896,Gonzos Quest,Evolution,Slot,"March, 2021",32,$1.29,$1.12,1.72,0.7,0.71,0.77,0.03%
,,897,Big Jungle Bonanza Jackpot Royale Express,White Hat Studios,Slot,"March, 2025",26,$2.44,$0.86,0.76,0.5,0.70,0.77,0.02%
,,898,Lucky Seven Spin,Octoplay,Slot,"August, 2025",5,$1.94,$1.90,0.76,0.5,0.70,0.77,0.00%
,,899,Midnight Princess 100,Play N Go,Slot,"October, 2024",17,$1.02,$0.77,1.52,0.5,0.70,0.77,0.01%
,,900,Turn Your Fortune,Evolution,Slot,"March, 2021",32,$3.32,$1.85,0.72,0.8,0.70,0.77,0.03%
,,901,Live Dealer Speed Blackjack,Evolution,Live Casino,"January, 2023",15,$86.33,$72.46,0.14,3.1,0.70,0.19,0.01%
,,902,Blackjack Xchange,Gaming Realms,Table Game,"March, 2021",21,$31.10,$18.86,0.71,5.9,0.70,0.28,0.02%
,,903,Fu Dai Lian Lian Dragon,Aristocrat,Slot,"September, 2024",9,$1.88,$1.98,0.67,0.5,0.70,0.77,0.01%
,,904,Chicken Fox,Light & Wonder,Slot,"March, 2021",33,$1.40,$1.35,0.85,0.7,0.70,0.77,0.03%
,,905,Buffalo Mania Megaways,Evolution,Slot,"July, 2023",28,$1.22,$1.01,1.16,0.5,0.70,0.76,0.03%
,,906,He He Yang,Ruby Play,Slot,"January, 2025",5,$2.09,$2.05,1.27,0.9,0.70,0.76,0.01%
,,907,Super Sun Mayan Heat,Aruze,Slot,"June, 2024",6,$2.03,$1.59,0.59,0.8,0.70,0.76,0.00%
,,908,2 Wild 2 Die,Hacksaw Gaming,Slot,"October, 2024",21,$2.45,$1.59,0.43,0.6,0.70,0.76,0.02%
,,909,10000 Bc Jurassic 10k Ways,Reel Play,Slot,"September, 2025",31,$1.60,$1.37,0.91,0.5,0.70,0.76,0.03%
,,910,Lion Festival Boosted Celebration,Konami,Slot,"March, 2021",23,$1.33,$1.04,1.34,0.7,0.69,0.76,0.03%
,,911,Big Bonus Booster,Inspired,Slot,"April, 2024",23,$2.04,$1.75,0.72,0.5,0.69,0.76,0.02%
,,912,Vault Cracker Megaways,Evolution,Slot,"August, 2025",29,$1.31,$1.16,1.04,0.5,0.69,0.76,0.02%
,,913,Sahara Riches Collect Em,Playtech,Slot,"September, 2024",19,$1.23,$1.22,0.90,0.5,0.69,0.75,0.01%
,,914,Rich Wilde And The Tome Of Dead,Play N Go,Slot,"June, 2025",14,$1.52,$1.45,0.56,0.5,0.69,0.75,0.01%
,,915,Greenback Attack,Igt,Slot,"November, 2024",33,$0.84,$0.70,2.19,0.4,0.69,0.75,0.01%
,,916,Red Hot Tamales,Igt,Slot,"March, 2021",26,$1.59,$1.24,0.45,0.5,0.69,0.75,0.03%
,,917,Fire Joker 100,Play N Go,Slot,"July, 2025",17,$0.74,$0.64,1.29,0.5,0.69,0.75,0.01%
,,918,Balloon Bash LuckyTap ™,Design Works Gaming,Instant Win,"February, 2022",19,$1.27,$1.03,1.20,0.6,0.69,1.28,0.02%
,,919,Fire Blaze Blue Wizard Megaways,Playtech,Slot,"September, 2023",13,$1.20,$1.10,1.88,0.6,0.68,0.75,0.01%
,,920,Da Vinci Diamonds Masterworks,Igt,Slot,"March, 2021",17,$2.66,$1.50,0.42,0.5,0.68,0.75,0.01%
,,921,Stock Market,Evolution,Crash,"October, 2024",10,$39.90,$13.95,0.41,2.7,0.68,0.44,0.01%
,,922,Stacked Fire 7s,Inspired,Slot,"March, 2021",17,$1.58,$1.09,0.55,0.5,0.68,0.75,0.02%
,,923,Hurricane Horse Coin Combo,Light & Wonder,Slot,"April, 2022",33,$1.73,$1.64,0.92,0.8,0.68,0.75,0.03%
,,924,Platinum Goddess Power Bet,High 5 Games,Slot,"May, 2023",21,$2.05,$1.76,0.55,0.6,0.68,0.75,0.01%
,,925,Fortunes Of The Dead,Light & Wonder,Slot,"March, 2021",4,$1.79,$1.85,0.77,0.8,0.68,0.74,0.00%
,,926,Wicked Wheel Panda,Everi,Slot,"April, 2024",25,$1.94,$1.71,0.52,0.5,0.68,0.74,0.02%
,,927,Crazy Wizard Classic,Igt,Slot,"August, 2021",8,$1.17,$0.92,0.54,0.4,0.68,0.74,0.00%
,,928,Ted Afterparty,White Hat Studios,Slot,"March, 2025",28,$1.39,$1.42,0.92,0.6,0.68,0.74,0.04%
,,929,Cleopatra Megaways,Igt,Slot,"July, 2024",22,$1.60,$1.36,0.78,0.5,0.68,0.74,0.02%
,,930,Diamond Cash Mighty Buffalo,Greentube,Slot,"October, 2023",20,$2.34,$1.54,0.58,0.6,0.68,0.74,0.02%
,,931,Double Wolf,Everi,Slot,"March, 2021",25,$4.49,$2.17,0.11,0.5,0.68,0.74,0.01%
,,932,Smokin 777,Everi,Slot,"March, 2021",32,$2.38,$2.00,0.51,0.6,0.68,0.74,0.03%
,,933,Cash Can Ultratap,Ags,Instant Win,"March, 2025",24,$1.73,$0.78,0.96,0.5,0.67,1.26,0.02%
,,934,Cash Goddess,Evolution,Slot,"June, 2025",31,$1.30,$1.21,1.10,0.5,0.67,0.74,0.02%
,,935,Zillard King Megaways,Evolution,Slot,"August, 2025",30,$1.32,$1.28,0.84,0.4,0.67,0.74,0.04%
,,936,Wild Wild West The Great Train Heist,Evolution,Slot,"March, 2021",11,$3.08,$1.27,1.17,0.9,0.67,0.74,0.00%
,,937,Tiger Woman,Konami,Slot,"November, 2025",12,$1.52,$1.31,0.78,0.4,0.67,0.74,0.01%
,,938,Diamond Explosion 7s,Ruby Play,Slot,"April, 2025",6,$1.82,$1.77,0.88,0.5,0.67,0.73,0.00%
,,939,5 Amazon Jewels,Bragg Gaming Group,Slot,"September, 2025",13,$1.47,$1.49,0.80,0.4,0.67,0.73,0.01%
,,940,Panda Pow,Light & Wonder,Slot,"March, 2021",7,$5.64,$1.24,0.33,0.5,0.67,0.73,0.00%
,,941,Megajackpots Da Vinci Diamonds,Igt,Slot,"May, 2025",13,$2.07,$1.54,0.46,0.3,0.67,0.73,0.02%
,,942,Dragon Palace,Light & Wonder,Slot,"March, 2021",27,$2.21,$1.62,0.48,0.6,0.66,0.73,0.02%
,,943,Deadliest Catch,Playtech,Slot,"April, 2025",18,$2.16,$1.36,0.50,0.5,0.66,0.73,0.01%
,,944,Buffalo Wilds,Spinberry,Slot,"June, 2024",9,$1.35,$1.34,0.89,0.4,0.66,0.73,0.01%
,,945,Magic Maid Cafe,Evolution,Slot,"March, 2021",9,$3.42,$3.95,0.51,0.7,0.66,0.73,0.00%
,,946,Win Eruption,Oddsworks,Slot,"November, 2025",3,$2.06,$1.74,0.83,0.5,0.66,0.72,0.00%
,,947,More Turkey Megaways,Evolution,Slot,"January, 2024",9,$1.24,$1.23,1.45,0.7,0.66,0.72,0.01%
,,948,Molten Hot 7s,Design Works Gaming,Slot,"May, 2022",21,$1.49,$1.08,1.06,0.6,0.66,0.72,0.02%
,,949,Infinite Fun Fun 21 Blackjack,Evolution,Live Casino,"October, 2024",12,$21.76,$22.34,0.50,3.7,0.66,0.18,0.01%
,,950,Masters Of Atlantis,White Hat Studios,Slot,"July, 2023",22,$2.44,$1.74,0.56,0.5,0.66,0.72,0.05%
,,951,Cash Spin,Light & Wonder,Slot,"March, 2021",7,$3.35,$2.88,0.41,0.5,0.65,0.72,0.00%
,,952,Majestic Sea 2,High 5 Games,Slot,"March, 2021",18,$5.67,$1.54,0.24,0.7,0.65,0.72,0.01%
,,953,300 Shields Extreme,Light & Wonder,Slot,"March, 2021",11,$8.05,$1.20,0.45,0.9,0.65,0.72,0.00%
,,954,Americash 10k Ways,Reel Play,Slot,"May, 2024",29,$1.42,$1.04,1.01,0.5,0.65,0.72,0.02%
,,955,Rakin Bacon Odyssey,Ags,Slot,"April, 2024",30,$1.80,$1.60,0.59,0.5,0.65,0.71,0.03%
,,956,9 Coins Grand Gold Edition,Wazdan,Slot,"June, 2023",21,$1.34,$1.12,1.05,0.7,0.65,0.71,0.03%
,,957,Bankin Bacon Jackpot Royale,White Hat Studios,Slot,"August, 2023",28,$1.87,$1.75,0.84,0.6,0.65,0.71,0.03%
,,958,Squid Game Gganbu,Light & Wonder,Slot,"January, 2025",13,$1.37,$1.25,0.72,0.5,0.65,0.71,0.01%
,,959,3 Pyramids Of Gold Hold And Win,Octoplay,Slot,"September, 2025",5,$1.52,$1.57,0.96,0.5,0.65,0.71,0.00%
,,960,Mayan Chief Empowered Reel Of Itzamna,Konami,Slot,"March, 2024",19,$1.17,$1.03,0.99,0.5,0.65,0.71,0.02%
,,961,Tutans Treasure,Gaming Realms,Instant Win,"March, 2021",12,$16.85,$9.39,0.22,0.6,0.65,1.20,0.01%
,,962,Megajackpots Mistress Of Egypt,Igt,Slot,"February, 2023",13,$1.89,$1.78,0.37,0.3,0.65,0.71,0.01%
,,963,Live Dealer Infinite Bet Stacker Blackjack,Evolution,Live Casino,"July, 2025",7,$94.52,$33.70,0.21,3.2,0.64,0.17,0.01%
,,964,Double Patriot,Everi,Slot,"March, 2021",27,$5.72,$2.03,0.24,0.5,0.64,0.70,0.01%
,,965,Adventures Of Doubloon Island,Games Global,Slot,"August, 2021",18,$1.40,$1.24,0.87,0.5,0.64,0.70,0.03%
,,966,Lucky Fire Blitz,White Hat Studios,Slot,"August, 2025",24,$1.31,$1.20,0.77,0.4,0.64,0.70,0.02%
,,967,Rabid Randy Dark Trails,Evolution,Slot,"September, 2025",28,$1.54,$1.18,2.56,0.5,0.64,0.70,0.02%
,,968,Book Of Slingo,Gaming Realms,Slot,"August, 2021",23,$7.63,$6.85,0.42,0.6,0.63,0.69,0.02%
,,969,Devilish Fortunes,Games Global,Slot,"December, 2023",22,$1.40,$1.16,0.75,0.4,0.63,0.69,0.03%
,,970,Gold Gobblers,Bragg Gaming Group,Slot,"July, 2025",18,$1.82,$1.58,0.49,0.4,0.63,0.69,0.02%
,,971,Tricks And Treats,Evolution,Slot,"September, 2023",22,$1.01,$0.82,0.95,0.4,0.63,0.69,0.01%
,,972,Invaders From The Planet Moolah,Light & Wonder,Slot,"March, 2021",9,$2.64,$1.81,1.14,0.8,0.63,0.69,0.00%
,,973,Fruit Shop Christmas Edition,Evolution,Slot,"March, 2021",28,$2.20,$1.43,0.90,0.7,0.63,0.69,0.02%
,,974,Immortal Ways Spooktacular,Ruby Play,Slot,"May, 2025",3,$1.31,$1.01,1.87,0.6,0.63,0.69,0.00%
,,975,Emperor Of India,Evolution,Slot,"September, 2025",24,$1.10,$0.82,1.03,0.5,0.63,0.69,0.02%
,,976,Temple Tumble 2 Dream Drop,Relax Gaming,Slot,"February, 2024",12,$1.28,$1.00,1.31,0.7,0.63,0.69,0.02%
,,977,San Fa Coins,Ainsworth,Slot,"December, 2024",7,$4.07,$2.01,0.13,0.5,0.62,0.68,0.02%
,,978,China Shores,Konami,Slot,"March, 2021",9,$1.24,$1.12,1.18,0.5,0.62,0.68,0.01%
,,979,Big Catch Bass Fishing Megaways Jackpot Royale,White Hat Studios,Slot,"July, 2024",22,$1.65,$1.59,0.50,0.4,0.62,0.68,0.02%
,,980,25 Red Hot Burning Clover Link,Greentube,Slot,"November, 2021",8,$1.51,$1.55,0.73,0.4,0.62,0.68,0.01%
,,981,Tiger 7s,Everi,Slot,"March, 2021",26,$4.00,$1.31,0.15,0.4,0.61,0.67,0.01%
,,982,Ted Megaways,White Hat Studios,Slot,"July, 2022",14,$6.20,$2.48,0.39,0.7,0.61,0.67,0.02%
,,983,Wolf Run Eclipse,Igt,Slot,"April, 2024",29,$1.87,$1.66,0.56,0.5,0.61,0.67,0.02%
,,984,Christmas Bonanza Megaways,Evolution,Slot,"June, 2023",9,$2.45,$1.63,0.76,0.6,0.61,0.67,0.01%
,,985,Robocop Collect Em,Playtech,Slot,"January, 2025",18,$1.41,$1.04,0.61,0.4,0.61,0.67,0.01%
,,986,Double Play Superbet Hq,Light & Wonder,Slot,"March, 2021",4,$1.33,$1.34,1.34,0.7,0.61,0.67,0.00%
,,987,Butterfly Staxx,Evolution,Slot,"March, 2021",25,$1.67,$1.32,1.06,0.4,0.61,0.67,0.01%
,,988,Monopoly Mega Movers,Light & Wonder,Slot,"March, 2021",13,$4.33,$2.70,0.31,0.6,0.61,0.67,0.01%
,,989,3 Top Dogs,1x2 Network,Slot,"July, 2025",5,$1.04,$0.81,0.70,0.5,0.61,0.67,0.01%
,,990,Multihand Blackjack,Light & Wonder,Table Game,"May, 2023",9,$21.94,$12.32,0.39,3.0,0.61,0.24,0.00%
,,991,A Fistful Of Wilds,Greentube,Slot,"February, 2023",14,$2.65,$1.49,0.51,0.5,0.61,0.67,0.02%
,,992,Gift Explosion,Spinberry,Slot,"December, 2024",2,$1.01,$1.01,0.74,0.4,0.61,0.67,0.01%
,,993,Halloween Jack,Evolution,Slot,"March, 2021",17,$1.58,$1.23,0.60,0.7,0.61,0.67,0.00%
,,994,Double Bonus Spin Roulette,Igt,Table Game,"June, 2021",16,$29.92,$11.17,0.09,1.0,0.61,0.24,0.01%
,,995,Slingo Fire And Ice,Gaming Realms,Slot,"February, 2022",24,$20.18,$12.19,0.31,0.6,0.61,0.67,0.02%
,,996,Ashoka,Light & Wonder,Slot,"July, 2024",10,$4.03,$2.15,0.36,0.4,0.61,0.66,0.01%
,,997,Silver Lux Coin Stacks,Greentube,Slot,"November, 2024",13,$2.29,$1.48,0.40,0.6,0.61,0.66,0.01%
,,998,Legend Of The Pharaoh,Light & Wonder,Slot,"March, 2021",7,$6.10,$2.75,1.08,0.8,0.60,0.66,0.00%
,,999,Saint Nicked Jackpot Royale,White Hat Studios,Slot,"November, 2023",31,$1.69,$1.63,0.67,0.5,0.60,0.66,0.02%
,,"1,000",Megajackpots Ocean Belles,Igt,Slot,"July, 2021",14,$3.87,$2.06,0.12,0.2,0.60,0.66,0.01%
,,"1,001",Slingo Maximus Soldier Of Rome,Gaming Realms,Slot,"March, 2021",16,$10.71,$9.84,0.27,0.5,0.60,0.66,0.01%
,,"1,002",Slingshot Blast Ultratap,Ags,Instant Win,"June, 2025",26,$1.20,$0.88,0.72,0.5,0.60,1.12,0.02%
,,"1,003",Mega Fire Blaze Dwarves And Goblins,Playtech,Slot,"July, 2025",19,$1.53,$1.11,0.89,0.4,0.60,0.66,0.02%
,,"1,004",Hot Dog Heist,Play N Go,Slot,"February, 2025",16,$1.13,$1.08,0.12,0.4,0.60,0.66,0.02%
,,"1,005",Press Your Luck Whammy Wilds,Everi,Slot,"March, 2025",25,$4.56,$3.39,0.36,0.4,0.60,0.66,0.02%
,,"1,006",Diamond Cash Cops And Robbers,Greentube,Slot,"June, 2024",15,$2.03,$1.65,0.52,0.5,0.60,0.66,0.01%
,,"1,007",Squealin Riches,Games Global,Slot,"December, 2022",21,$1.58,$1.44,0.64,0.4,0.60,0.66,0.03%
,,"1,008",Cyberslot Megaclusters,Light & Wonder,Slot,"August, 2021",13,$1.34,$1.39,0.89,0.5,0.60,0.66,0.01%
,,"1,009",Super Sallys Shrimpmania,Bragg Gaming Group,Slot,"July, 2025",15,$1.65,$1.42,0.52,0.4,0.60,0.65,0.02%
,,"1,010",Fire Blaze Fire Fighter,Playtech,Slot,"July, 2024",10,$1.27,$1.15,0.84,0.4,0.60,0.65,0.01%
,,"1,011",Lucky Money Tree,Boom Entertainment,Instant Win,"June, 2023",12,$1.31,$1.25,0.60,0.5,0.60,1.11,0.01%
,,"1,012",Live Dealer Infinite Bet Stacker Blackjack,Evolution,Table Game,"July, 2025",5,$33.53,$28.16,0.19,2.5,0.60,0.24,0.00%
,,"1,013",Sweet Success,White Hat Studios,Slot,"August, 2023",5,$2.76,$0.68,0.18,0.6,0.60,0.65,0.02%
,,"1,014",Clue Cash Mystery,Light & Wonder,Slot,"March, 2021",7,$1.73,$1.63,0.98,0.8,0.60,0.65,0.01%
,,"1,015",Blazin Ice,Everi,Slot,"July, 2025",17,$26.63,$31.03,0.05,0.6,0.59,0.65,0.03%
,,"1,016",Hoot Loot,High 5 Games,Slot,"March, 2021",14,$3.50,$1.81,0.26,0.5,0.59,0.65,0.01%
,,"1,017",Farmtastic,Evolution,Slot,"June, 2025",19,$1.16,$0.98,1.51,0.4,0.59,0.65,0.01%
,,"1,018",Progressive Blackjack,Bragg Gaming Group,Table Game,"March, 2025",2,$18.96,$18.96,0.08,0.6,0.59,0.23,0.00%
,,"1,019",Action Jack,Igt,Slot,"March, 2021",33,$2.41,$1.70,0.44,0.4,0.59,0.65,0.02%
,,"1,020",Pinata Go Go,1x2 Network,Slot,"June, 2025",4,$2.13,$1.41,0.34,0.5,0.59,0.65,0.00%
,,"1,021",Diamond Spins Cats,Igt,Slot,"March, 2024",13,$1.83,$1.39,0.74,0.7,0.59,0.65,0.00%
,,"1,022",Asgardian Stones,Evolution,Slot,"March, 2021",28,$3.34,$2.16,0.49,0.6,0.59,0.65,0.02%
,,"1,023",Big Wolf Bonus Booster,Inspired,Slot,"May, 2025",23,$2.00,$1.87,0.66,0.4,0.59,0.65,0.02%
,,"1,024",Spirit Of Mustang,Aristocrat,Slot,"March, 2022",12,$2.74,$1.84,0.47,0.7,0.59,0.65,0.01%
,,"1,025",Cash Eruption Fa Cai Shu,Igt,Slot,"April, 2023",32,$1.70,$1.55,0.61,0.4,0.59,0.64,0.03%
,,"1,026",Duel At Dawn,Hacksaw Gaming,Slot,"February, 2025",13,$1.75,$1.27,0.77,0.4,0.59,0.64,0.01%
,,"1,027",More Turkey,Evolution,Slot,"November, 2023",11,$1.37,$1.36,1.26,0.7,0.59,0.64,0.01%
,,"1,028",Narcos,Evolution,Slot,"March, 2021",28,$4.72,$2.07,0.40,0.6,0.59,0.64,0.01%
,,"1,029",Cash Zap Ultratap,Ags,Instant Win,"May, 2024",30,$1.10,$0.93,0.90,0.4,0.58,1.09,0.02%
,,"1,030",Cleopatra Megaways Hold And Win,Igt,Slot,"May, 2024",3,$1.53,$1.52,0.51,0.3,0.58,0.64,0.00%
,,"1,031",Big Santa Fortune,Inspired,Slot,"December, 2022",22,$1.77,$1.51,0.51,0.5,0.58,0.64,0.02%
,,"1,032",Wheel Of Fortune Hawaiian Getaway,Igt,Slot,"March, 2021",29,$8.86,$2.05,0.15,0.5,0.58,0.63,0.02%
,,"1,033",Crystal Treasure,Ags,Slot,"April, 2025",28,$1.33,$1.17,0.59,0.4,0.58,0.63,0.02%
,,"1,034",Big Catch Bass Fishing Christmas Jackpot Royale,White Hat Studios,Slot,"December, 2024",20,$1.88,$1.78,0.48,0.4,0.58,0.63,0.02%
,,"1,035",Roulette Deluxe,Playtech,Table Game,"January, 2024",3,$10.05,$12.11,0.16,0.7,0.58,0.23,0.00%
,,"1,036",Fishin Pots Of Gold Gold Blitz,Games Global,Slot,"November, 2023",10,$1.57,$1.48,0.85,0.4,0.58,0.63,0.01%
,,"1,037",Thunderstruck Wild Lightning,Games Global,Slot,"January, 2022",21,$1.88,$1.74,0.43,0.4,0.58,0.63,0.03%
,,"1,038",Ultimate Fire Link Rue Royale,Light & Wonder,Slot,"November, 2023",28,$1.83,$1.67,0.59,0.4,0.58,0.63,0.03%
,,"1,039",Play With The Devil Megaways,Evolution,Slot,"September, 2025",29,$1.48,$1.23,0.66,0.4,0.57,0.63,0.01%
,,"1,040",Rome Fight For Gold Eternal Empire,Games Global,Slot,"September, 2025",19,$1.52,$1.24,0.65,0.4,0.57,0.63,0.03%
,,"1,041",Diamond Sands,Games Global,Slot,"June, 2023",17,$1.86,$1.25,0.27,0.4,0.57,0.63,0.02%
,,"1,042",Rising Rewards,Games Global,Slot,"January, 2024",21,$1.33,$0.99,0.75,0.4,0.57,0.63,0.03%
,,"1,043",Fu Gui Hao Men Splendid Fortune,Igt,Slot,"May, 2025",24,$1.91,$1.68,0.40,0.3,0.57,0.62,0.02%
,,"1,044",5 Treasures,Light & Wonder,Slot,"May, 2021",32,$1.59,$1.36,0.98,0.6,0.57,0.62,0.02%
,,"1,045",Slingo Fowl Play,Gaming Realms,Slot,"March, 2025",31,$11.24,$8.55,0.27,0.5,0.57,0.62,0.03%
,,"1,046",Might Of Olympus,Igt,Slot,"October, 2025",28,$1.24,$1.21,0.86,0.4,0.57,0.62,0.02%
,,"1,047",Double Jackpot Bullseye,Everi,Slot,"March, 2021",29,$2.83,$2.33,0.26,0.4,0.57,0.62,0.02%
,,"1,048",Super Jackpot Seven Seas,Everi,Slot,"May, 2023",21,$9.91,$7.84,0.13,0.5,0.57,0.62,0.02%
,,"1,049",Dynamite Fishing,Inspired,Slot,"April, 2025",22,$2.00,$1.43,0.46,0.4,0.57,0.62,0.01%
,,"1,050",Colossal Diamonds,Ags,Slot,"March, 2024",30,$1.58,$1.45,0.57,0.4,0.57,0.62,0.04%
,,"1,051",3 Mad Frogs,1x2 Network,Slot,"September, 2025",5,$1.14,$0.96,1.13,0.5,0.57,0.62,0.01%
,,"1,052",Galactic Streak,Playtech,Slot,"November, 2021",3,$1.14,$0.80,0.42,0.4,0.56,0.62,0.00%
,,"1,053",888 Panda,Bragg Gaming Group,Slot,"June, 2025",18,$1.84,$1.72,0.48,0.4,0.56,0.62,0.01%
,,"1,054",Ultimate Fire Link Country Lights,Light & Wonder,Slot,"August, 2023",27,$2.07,$1.79,0.65,0.5,0.56,0.62,0.02%
,,"1,055",Frozen Gems,Play N Go,Slot,"December, 2022",16,$3.56,$1.25,0.21,0.6,0.56,0.62,0.02%
,,"1,056",333 Fat Frogs Power Combo,Games Global,Slot,"August, 2024",22,$1.12,$0.99,0.86,0.4,0.56,0.62,0.03%
,,"1,057",Fu Shen Zhu Fu,Inspired,Slot,"July, 2025",23,$1.52,$1.46,0.77,0.4,0.56,0.61,0.02%
,,"1,058",Ghosts N Gold,Igt,Slot,"October, 2025",8,$1.48,$1.27,0.58,0.3,0.56,0.61,0.01%
,,"1,059",Fire Blaze Red Wizard,Playtech,Slot,"May, 2023",19,$1.45,$1.23,1.02,0.5,0.56,0.61,0.01%
,,"1,060",Red Hot Joker Cascade High Stakes,Igt,Slot,"September, 2025",32,$12.60,$3.63,0.25,0.4,0.56,0.61,0.02%
,,"1,061",Mega Fire Blaze Khonsu God Of Moon,Playtech,Slot,"December, 2024",21,$1.42,$1.36,0.83,0.3,0.56,0.61,0.02%
,,"1,062",Finn And The Dragon Tales,Evolution,Slot,"July, 2025",31,$2.50,$1.77,0.38,0.4,0.56,0.61,0.02%
,,"1,063",Silver Bullet Bandit Collect Em,Playtech,Slot,"July, 2025",19,$1.31,$1.39,0.84,0.3,0.56,0.61,0.01%
,,"1,064",Spartacus Lightning Blitz,Reel Play,Slot,"September, 2025",21,$1.49,$1.20,0.70,0.4,0.55,0.61,0.01%
,,"1,065",Chicken Burst,Aristocrat,Slot,"April, 2025",13,$1.35,$1.13,0.62,0.4,0.55,0.61,0.01%
,,"1,066",50 Red Hot Burning Clover Link,Greentube,Slot,"January, 2022",8,$1.81,$1.75,0.46,0.4,0.55,0.60,0.00%
,,"1,067",Year Of The LuckyTap™,Design Works Gaming,Instant Win,"August, 2023",17,$2.04,$1.37,0.52,0.5,0.55,1.03,0.02%
,,"1,068",A Girls Best Friends,Internal,Slot,"April, 2021",4,$1.93,$1.61,0.72,0.6,0.55,0.60,0.00%
,,"1,069",Devils Lock,Bragg Gaming Group,Slot,"June, 2023",24,$2.18,$2.00,0.45,0.4,0.55,0.60,0.02%
,,"1,070",Professor Clanks 10k Ways,Reel Play,Slot,"August, 2025",26,$1.05,$1.04,0.84,0.4,0.55,0.60,0.03%
,,"1,071",Golden Harvest,Bragg Gaming Group,Slot,"November, 2025",9,$1.78,$1.57,0.53,0.4,0.55,0.60,0.01%
,,"1,072",Steam Tower,Evolution,Slot,"March, 2021",8,$3.26,$2.02,0.45,0.3,0.55,0.60,0.00%
,,"1,073",Wild Touchdown Megaways,Evolution,Slot,"January, 2025",23,$0.67,$0.48,0.87,0.3,0.55,0.60,0.00%
,,"1,074",Diamond Rose,Ags,Slot,"April, 2025",29,$1.96,$1.34,0.62,0.4,0.55,0.60,0.02%
,,"1,075",Manic Potions,Greentube,Slot,"June, 2023",5,$1.35,$1.37,0.67,0.4,0.55,0.60,0.01%
,,"1,076",Jacks Or Better Double Up,Evolution,Video Poker,"May, 2021",7,$7.48,$5.06,0.64,4.6,0.55,0.38,0.01%
,,"1,077",Vegas Jackpots Deluxe,Gamecode,Slot,"May, 2025",15,$2.28,$1.42,0.20,0.4,0.55,0.60,0.02%
,,"1,078",Mermaid Pays,Bragg Gaming Group,Slot,"January, 2023",11,$2.67,$1.91,0.22,0.4,0.55,0.60,0.01%
,,"1,079",Egglink 100x Ra,Light & Wonder,Slot,"October, 2024",27,$1.96,$1.90,0.56,0.5,0.54,0.59,0.02%
,,"1,080",A Visit From St Nick,High 5 Games,Slot,"March, 2021",24,$2.14,$1.86,0.43,0.6,0.54,0.59,0.03%
,,"1,081",Da Vinci Deluxe Ways,High 5 Games,Slot,"May, 2023",24,$2.02,$1.87,0.50,0.6,0.54,0.59,0.03%
,,"1,082",Imperial Wealth Quick Strike,Konami,Slot,"March, 2021",23,$1.55,$1.46,0.57,0.4,0.54,0.59,0.02%
,,"1,083",Follow The Honey,Inspired,Slot,"July, 2022",11,$1.27,$1.25,0.54,0.4,0.54,0.59,0.01%
,,"1,084",Diamond Cash Mighty Elephant,Greentube,Slot,"September, 2021",17,$1.59,$1.42,0.66,0.5,0.54,0.59,0.01%
,,"1,085",Tiki Goddess,Red Rake Gaming,Slot,"July, 2025",2,$0.89,$0.89,0.97,0.5,0.54,0.59,0.00%
,,"1,086",Green Machine Deluxe Racking Up Riches,High 5 Games,Slot,"March, 2021",16,$1.68,$1.54,0.75,0.6,0.54,0.59,0.01%
,,"1,087",Thunder Cash Voodoo Magic,Greentube,Slot,"October, 2022",18,$3.12,$1.64,0.40,0.5,0.54,0.59,0.01%
,,"1,088",Premium French Roulette,Playtech,Table Game,"January, 2024",2,$6.32,$6.32,0.28,1.2,0.54,0.21,0.00%
,,"1,089",Secrets Of The Phoenix Hold And Gold,Aristocrat,Slot,"December, 2024",5,$1.60,$1.62,0.77,0.3,0.54,0.59,0.00%
,,"1,090",Halloween Cashpots,Inspired,Slot,"March, 2021",14,$1.35,$1.22,1.27,0.6,0.54,0.59,0.01%
,,"1,091",3 Cherry Frenzy,Games Global,Slot,"October, 2024",9,$2.77,$2.61,0.44,0.4,0.54,0.59,0.00%
,,"1,092",Zeus 3,Light & Wonder,Slot,"March, 2021",17,$2.64,$1.57,0.47,0.5,0.54,0.59,0.02%
,,"1,093",Twice The Diamonds,Ainsworth,Slot,"March, 2021",8,$1.85,$1.75,0.56,0.6,0.54,0.59,0.00%
