Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"2,766",Dr Wild And The Eye Of Dead,White Hat Studios,Slot,"July, 2022",9,$0.71,$0.59,0.30,0.1,0.09,0.10,0.00%
,,"2,767",9 Masks Of Fire American Roulette,Games Global,Table Game,"October, 2025",9,$7.87,$8.09,0.02,0.1,0.09,0.04,0.00%
,,"2,768",Warlords Crystal Of Power,Evolution,Slot,"March, 2021",5,$1.22,$1.29,0.53,0.1,0.09,0.10,0.00%
,,"2,769",Ithacas Gold,Light & Wonder,Slot,"December, 2024",28,$1.74,$1.61,0.08,0.1,0.09,0.10,0.00%
,,"2,770",Laughing Buddha,Oddsworks,Slot,"May, 2025",18,$1.15,$1.17,0.15,0.1,0.09,0.10,0.00%
,,"2,771",Cash Voyage,Ainsworth,Slot,"November, 2021",6,$12.27,$7.28,0.03,0.1,0.09,0.10,0.00%
,,"2,772",Gorilla Power Megaways,White Hat Studios,Slot,"September, 2022",5,$2.01,$1.79,0.11,0.1,0.09,0.10,0.00%
,,"2,773",Bulls Run Wild,Evolution,Slot,"March, 2023",19,$1.24,$0.84,0.08,0.1,0.09,0.10,0.00%
,,"2,774",Divine Reels,Spinberry,Slot,"October, 2025",3,$1.17,$1.07,0.17,0.0,0.09,0.10,0.00%
,,"2,775",Napoleon Rise Of An Empire,White Hat Studios,Slot,"October, 2022",5,$1.33,$1.34,0.12,0.1,0.09,0.10,0.00%
,,"2,776",Coins And Cannons,Slotmill,Slot,"January, 2025",2,$1.63,$1.63,0.13,0.1,0.09,0.10,0.00%
,,"2,777",King Of Macedonia,Igt,Slot,"March, 2021",16,$2.42,$1.71,0.04,0.1,0.09,0.10,0.00%
,,"2,778",Kiss Reels Of Rock,Play N Go,Slot,"January, 2023",15,$1.04,$0.93,0.16,0.1,0.09,0.10,0.00%
,,"2,779",Captain Riches,Ags,Slot,"April, 2023",27,$1.90,$1.75,0.06,0.1,0.09,0.10,0.00%
,,"2,780",Break Da Bank Retro Roller,Games Global,Slot,"December, 2023",16,$0.84,$0.81,0.17,0.1,0.09,0.10,0.00%
,,"2,781",Ultra Rush Sky Fire,Incredible Technologies,Slot,"June, 2023",13,$1.86,$1.74,0.07,0.1,0.09,0.10,0.00%
,,"2,782",Return Of The Green Knight,Play N Go,Slot,"January, 2024",3,$0.99,$0.96,0.17,0.1,0.09,0.10,0.00%
,,"2,783",Slingo Genie Gemstones,Gaming Realms,Slot,"February, 2025",27,$8.57,$6.23,0.05,0.1,0.09,0.10,0.00%
,,"2,784",Sheriffs Gold Megaways,Igt,Slot,"October, 2023",9,$1.99,$1.10,0.14,0.1,0.09,0.10,0.00%
,,"2,785",Asian Fortunes,Greentube,Slot,"January, 2023",12,$1.02,$0.99,0.15,0.1,0.09,0.10,0.00%
,,"2,786",Fu Lai Cai Lai Wild Destiny,Aruze,Slot,"June, 2025",6,$5.81,$1.69,0.15,0.1,0.09,0.09,0.00%
,,"2,787",Phoenix Fa,Ags,Slot,"May, 2023",26,$3.25,$1.55,0.08,0.1,0.09,0.09,0.00%
,,"2,788",Action Dragons,Ainsworth,Slot,"June, 2021",10,$2.54,$1.96,0.12,0.1,0.09,0.09,0.00%
,,"2,789",Wild Portals Megaways,Evolution,Slot,"June, 2023",6,$3.56,$3.29,0.04,0.1,0.09,0.09,0.00%
,,"2,790",Jungle Spirit Megaways,Evolution,Slot,"September, 2024",20,$1.44,$1.34,0.12,0.1,0.09,0.09,0.00%
,,"2,791",Countess Cash,Games Global,Slot,"December, 2023",13,$0.97,$0.86,0.16,0.1,0.09,0.09,0.00%
,,"2,792",Dragon Drop,Light & Wonder,Slot,"March, 2021",7,$0.88,$0.68,0.16,0.1,0.09,0.09,0.00%
,,"2,793",Ultra Stack Feature Rose,Aruze,Slot,"January, 2022",9,$1.61,$1.36,0.30,0.2,0.09,0.09,0.00%
,,"2,794",10x Minimum Gift Edition,Spinberry,Slot,"December, 2023",9,$1.28,$0.90,0.36,0.0,0.09,0.09,0.00%
,,"2,795",Fu Lai Cai Lai Triple Festival,Aruze,Slot,"May, 2024",7,$1.26,$1.35,0.17,0.1,0.09,0.09,0.00%
,,"2,796",Book Of Buffalo,Bragg Gaming Group,Slot,"March, 2025",12,$2.65,$1.52,0.09,0.1,0.09,0.09,0.00%
,,"2,797",Ticket To Wild,Evolution,Slot,"March, 2025",23,$1.41,$0.85,0.08,0.1,0.09,0.09,0.00%
,,"2,798",Spinnin Records Into The Beat,Play N Go,Slot,"July, 2025",21,$0.80,$0.74,0.16,0.1,0.09,0.09,0.00%
